epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.018,3.8101,5.50038,3.02674,0,0,0,0,3.72457,7.8892,3.26731,2e-05,2e-05,2e-05
2,270.28,3.01863,4.34843,3.0907,0,0,0,0,3.79226,7.14771,3.39346,6e-05,6e-05,6e-05
3,395.816,3.12516,3.41727,3.05471,0,0,0,0,3.61777,6.17458,3.36732,0.0001,0.0001,0.0001
4,522.505,2.94703,5.00142,3.075,0.03333,0.05,0.02139,0.00817,3.58151,6.38339,3.30217,0.00014,0.00014,0.00014
5,650.183,3.09153,2.89644,2.895,0.05,0.05,0.03917,0.01591,3.441,6.38218,3.24067,0.00018,0.00018,0.00018
6,769.922,2.79952,2.73287,2.85645,0.0241,0.1,0.04168,0.01387,3.29409,5.81664,3.12937,0.00022,0.00022,0.00022
7,890.86,2.45841,2.33461,2.46603,0.70185,0.025,0.05052,0.01778,3.04505,5.23487,3.01924,0.00026,0.00026,0.00026
8,1035.34,2.59296,2.33688,2.48864,0.03659,0.225,0.08234,0.02556,2.93399,4.34146,2.95912,0.0003,0.0003,0.0003
9,1179.2,2.14235,2.02056,2.23118,0.03082,0.225,0.04169,0.01347,2.94553,4.19206,2.95131,0.00034,0.00034,0.00034
10,1322.91,2.07238,1.82175,1.94415,0.05488,0.225,0.06156,0.01827,2.95014,5.02288,3.05267,0.00038,0.00038,0.00038
11,1448.3,2.26843,1.98646,2.01756,0.05769,0.225,0.10365,0.03292,2.945,5.24406,3.04191,0.00042,0.00042,0.00042
12,1571.19,1.96768,1.75674,1.75543,0.06993,0.25,0.14748,0.04897,2.84978,5.14494,2.96782,0.00046,0.00046,0.00046
13,1692.39,1.52775,1.49044,1.56391,0.08772,0.25,0.1023,0.03676,2.79795,5.19006,2.95732,0.0005,0.0005,0.0005
14,1810.44,1.67435,1.49332,1.74153,0.07979,0.375,0.15963,0.05907,2.62553,4.26367,2.70142,0.00054,0.00054,0.00054
15,1939.71,1.75041,1.36416,1.67352,0.45071,0.275,0.18928,0.06981,2.42809,3.47195,2.39852,0.00058,0.00058,0.00058
16,2066.28,1.46888,1.36398,1.44959,0.50423,0.17817,0.22032,0.12191,2.09117,3.45512,2.28414,0.00062,0.00062,0.00062
17,2194.08,1.74035,1.58918,1.63376,0.66389,0.1,0.20137,0.11872,1.9251,3.72398,2.19307,0.00066,0.00066,0.00066
18,2329.75,1.50235,1.78463,1.57284,0.59843,0.25,0.30959,0.18658,1.95056,2.96237,2.09245,0.0007,0.0007,0.0007
19,2463.46,1.51189,1.50639,1.60581,0.92423,0.225,0.31509,0.18698,2.01232,3.30686,2.08915,0.00074,0.00074,0.00074
20,2589.91,1.63678,1.83767,1.62375,0.68372,0.25,0.35202,0.21934,1.82525,2.9913,2.0155,0.00078,0.00078,0.00078
21,2718.51,1.44077,1.53192,1.53285,0.56204,0.35,0.4473,0.23977,1.84128,2.36527,1.96015,0.00082,0.00082,0.00082
22,2842.84,1.46346,1.78463,1.50363,0.82186,0.46163,0.55461,0.28891,1.79036,2.19034,1.89072,0.00086,0.00086,0.00086
23,2963.59,1.46097,1.57299,1.59828,0.362,0.4,0.34087,0.18461,1.72133,2.41757,1.71763,0.0009,0.0009,0.0009
24,3079.14,1.30159,1.22111,1.30402,0.70536,0.47892,0.59493,0.38603,1.42879,1.80179,1.62768,0.00094,0.00094,0.00094
25,3200.5,1.34297,1.41437,1.45793,0.72339,0.575,0.62354,0.39083,1.57572,1.66682,1.64873,0.00098,0.00098,0.00098
26,3328.44,1.09003,1.0925,1.38945,0.63712,0.625,0.62125,0.37337,1.61547,1.49912,1.61526,0.00102,0.00102,0.00102
