epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.0261,3.62471,5.43579,3.06882,0,0,0,0,3.92325,7.12178,3.32454,4e-05,4e-05,4e-05
2,127.417,3.03482,3.97117,3.16828,0,0,0,0,3.77566,6.23312,3.42471,9.82e-05,9.82e-05,9.82e-05
3,182.501,3.01894,3.03547,3.00223,0.08696,0.05,0.04817,0.01193,3.60538,6.71835,3.35677,0.00015424,0.00015424,0.00015424
4,238.41,2.80538,3.32232,2.98323,0.03333,0.025,0.04125,0.0165,3.52115,6.67147,3.32262,0.00020812,0.00020812,0.00020812
5,292.68,2.8801,2.70235,2.58952,0.03571,0.05,0.02325,0.00644,3.69622,6.21682,3.40776,0.00025984,0.00025984,0.00025984
6,346.372,2.51595,2.42172,2.43167,0.04255,0.05,0.02376,0.00358,3.6982,6.14009,3.42643,0.0003094,0.0003094,0.0003094
7,402.704,2.18528,2.00205,2.22815,0.03922,0.05,0.02274,0.00227,3.54017,6.01301,3.42157,0.0003568,0.0003568,0.0003568
8,456.497,2.41249,2.26873,2.40354,0.04762,0.05,0.02833,0.00435,3.50365,6.21797,3.41997,0.00040204,0.00040204,0.00040204
9,510.816,1.96986,1.66245,2.08337,0.05172,0.075,0.04083,0.0071,3.44481,6.11682,3.35149,0.00044512,0.00044512,0.00044512
10,564.856,1.94731,2.00593,1.91147,0.09091,0.075,0.06554,0.0163,3.38996,5.85896,3.24,0.00048604,0.00048604,0.00048604
11,619.002,1.91256,1.68397,1.87993,0.08511,0.1,0.06548,0.02889,3.06401,4.937,2.95033,0.0005248,0.0005248,0.0005248
12,672.926,1.84761,1.76128,1.74798,0.20896,0.35,0.20693,0.07614,2.85673,4.45196,2.74906,0.0005614,0.0005614,0.0005614
13,727.171,1.76103,1.77831,1.71454,0.13333,0.55,0.37842,0.17154,2.25354,3.56122,2.34503,0.00059584,0.00059584,0.00059584
14,781.381,1.51226,1.57659,1.66548,0.67383,0.31021,0.40429,0.20415,1.9732,2.95334,2.18339,0.00062812,0.00062812,0.00062812
15,835.849,1.6835,2.30596,1.71926,0.39787,0.375,0.28059,0.15748,1.6977,2.40368,1.91201,0.00065824,0.00065824,0.00065824
16,889.526,1.4617,1.62081,1.48325,0.25913,0.375,0.20491,0.10584,1.64581,2.50766,1.80312,0.0006862,0.0006862,0.0006862
17,943.735,1.53986,2.10532,1.50791,0.5945,0.6,0.54467,0.30654,1.82077,1.961,1.79749,0.000712,0.000712,0.000712
18,997.551,1.44997,1.40595,1.51823,0.63887,0.575,0.5903,0.34028,1.79305,1.53393,1.7383,0.00073564,0.00073564,0.00073564
19,1055.38,1.40907,1.74481,1.4972,0.66941,0.575,0.60958,0.36213,1.80597,1.52471,1.71837,0.00075712,0.00075712,0.00075712
20,1112.76,1.45714,1.99235,1.46243,0.80705,0.575,0.65723,0.39422,1.75451,1.50476,1.68949,0.00077644,0.00077644,0.00077644
21,1166.74,1.52521,1.14104,1.48751,0.86776,0.6,0.70671,0.47952,1.47305,1.44693,1.54109,0.0007936,0.0007936,0.0007936
22,1220.69,1.43901,1.49418,1.37778,0.93995,0.6,0.74585,0.52463,1.32683,1.29238,1.49606,0.0008086,0.0008086,0.0008086
23,1274.32,1.28068,1.21993,1.41219,0.83557,0.625,0.78475,0.54867,1.21047,1.37245,1.38453,0.00082144,0.00082144,0.00082144
24,1328.21,1.34273,1.51426,1.28319,0.7847,0.72901,0.82279,0.57775,1.14163,1.32792,1.3263,0.00083212,0.00083212,0.00083212
25,1390.63,1.33863,1.423,1.29558,0.8714,0.67767,0.83168,0.58683,1.13167,1.12477,1.31388,0.00084064,0.00084064,0.00084064
26,1453.1,1.21732,1.03454,1.34853,1,0.7481,0.89265,0.65212,1.06855,1.00921,1.27908,0.000847,0.000847,0.000847
27,1517.23,1.27509,1.1596,1.29147,0.97074,0.775,0.90291,0.66383,1.04102,0.99534,1.25731,0.0008512,0.0008512,0.0008512
28,1579.47,1.22862,0.93427,1.18254,0.89749,0.87551,0.92183,0.70049,0.96888,0.97212,1.22258,0.00085324,0.00085324,0.00085324
